annotation_id,image_id,file_path,asset_id,asset_type,component,defect_type,severity_label,x,y,width,height,area,coco_image_id,coco_annotation_id
REAL-BRIDGE-IMG-0010-ANN-001,REAL-BRIDGE-IMG-0010,data/bridge_image/Image_-669-_jpg.rf.UbotQj3X0XwJe9923nu2.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,187,2.5,83,250,20750,10,26
REAL-BRIDGE-IMG-0010-ANN-002,REAL-BRIDGE-IMG-0010,data/bridge_image/Image_-669-_jpg.rf.UbotQj3X0XwJe9923nu2.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,130,248.5,147,150,22050,10,27
REAL-BRIDGE-IMG-0011-ANN-001,REAL-BRIDGE-IMG-0011,data/bridge_image/104_9e50b6b6-6a1a-465e-877a-d6a7fc4e60fe_jpg.rf.VQVaCOA7FkFMF1wBgTSI.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,1030,454,194,732,142008,11,28
REAL-BRIDGE-IMG-0012-ANN-001,REAL-BRIDGE-IMG-0012,data/bridge_image/Image_-578-_jpg.rf.V1qfxNTln4phYdrK4nmU.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,155,5.5,186,441,82026,12,29
REAL-BRIDGE-IMG-0013-ANN-001,REAL-BRIDGE-IMG-0013,data/bridge_image/Image_-502-_jpg.rf.BxCd66Ma3JO1lGZeIyDO.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,6,2,121,117,14157,13,30
REAL-BRIDGE-IMG-0014-ANN-001,REAL-BRIDGE-IMG-0014,data/bridge_image/Image_mine-14-_jpg.rf.zF6X0wW1J8p9Mc4Ecxw0.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,4,1266,1913,497,950761,14,31
REAL-BRIDGE-IMG-0014-ANN-002,REAL-BRIDGE-IMG-0014,data/bridge_image/Image_mine-14-_jpg.rf.zF6X0wW1J8p9Mc4Ecxw0.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,1917,1437,2115,777,1643355,14,32
REAL-BRIDGE-IMG-0014-ANN-003,REAL-BRIDGE-IMG-0014,data/bridge_image/Image_mine-14-_jpg.rf.zF6X0wW1J8p9Mc4Ecxw0.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,639,1756,1346,329,442834,14,33
REAL-BRIDGE-IMG-0015-ANN-001,REAL-BRIDGE-IMG-0015,data/bridge_image/103_24cdb1be-4122-46d5-9d93-b239020ccf98_jpg.rf.UsdODBcDBmGLtvZICrHj.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,882,254,714,692,494088,15,34
REAL-BRIDGE-IMG-0016-ANN-001,REAL-BRIDGE-IMG-0016,data/bridge_image/104_7ff5c748-d238-464c-aff0-65f385c49b7f_jpg.rf.KSQDfXGnvZ2nUcb6xXrU.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,1364,586,872,112,97664,16,35
REAL-BRIDGE-IMG-0017-ANN-001,REAL-BRIDGE-IMG-0017,data/bridge_image/exposure-38-_jpg.rf.O1LWbOWqKp8TK18l1Qvd.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,1108,196,184,1084,199456,17,36
REAL-BRIDGE-IMG-0018-ANN-001,REAL-BRIDGE-IMG-0018,data/bridge_image/1989.rf.MKSHpAmD4H8BynXDUK7h.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,2,169.5,412,72,29664,18,37
REAL-BRIDGE-IMG-0019-ANN-001,REAL-BRIDGE-IMG-0019,data/bridge_image/Image_-89-_jpg.rf.z3vn4EEMmSyFnprHmp6g.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,92,221,379,543,205797,19,38
REAL-BRIDGE-IMG-0020-ANN-001,REAL-BRIDGE-IMG-0020,data/bridge_image/104_67951ac7-0d86-4743-8313-fcaae6833879_jpg.rf.CPhz5cIHwiAgJnlutBst.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,0,952,2014,240,483360,20,39
REAL-BRIDGE-IMG-0021-ANN-001,REAL-BRIDGE-IMG-0021,data/bridge_image/1622.rf.taeqi9gdQ8jH1vrNyMHi.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,188.5,104.5,15,310,4650,21,40
REAL-BRIDGE-IMG-0021-ANN-002,REAL-BRIDGE-IMG-0021,data/bridge_image/1622.rf.taeqi9gdQ8jH1vrNyMHi.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,198.5,0,15,183,2745,21,41
REAL-BRIDGE-IMG-0022-ANN-001,REAL-BRIDGE-IMG-0022,data/bridge_image/103_8da70b5f-48e2-4ccd-af9a-9c56fcf1b8cd_jpg.rf.UTnQLsUnajnYF9nyPxH8.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,274,320,388,460,178480,22,42
REAL-BRIDGE-IMG-0022-ANN-002,REAL-BRIDGE-IMG-0022,data/bridge_image/103_8da70b5f-48e2-4ccd-af9a-9c56fcf1b8cd_jpg.rf.UTnQLsUnajnYF9nyPxH8.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,920,328,178,302,53756,22,43
REAL-BRIDGE-IMG-0022-ANN-003,REAL-BRIDGE-IMG-0022,data/bridge_image/103_8da70b5f-48e2-4ccd-af9a-9c56fcf1b8cd_jpg.rf.UTnQLsUnajnYF9nyPxH8.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1254,320,156,324,50544,22,44
REAL-BRIDGE-IMG-0022-ANN-004,REAL-BRIDGE-IMG-0022,data/bridge_image/103_8da70b5f-48e2-4ccd-af9a-9c56fcf1b8cd_jpg.rf.UTnQLsUnajnYF9nyPxH8.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1546,336,886,478,423508,22,45
REAL-BRIDGE-IMG-0023-ANN-001,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,550,916,168,430,72240,23,46
REAL-BRIDGE-IMG-0023-ANN-002,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,724,1258,282,102,28764,23,47
REAL-BRIDGE-IMG-0023-ANN-003,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,0,456,588,398,234024,23,48
REAL-BRIDGE-IMG-0023-ANN-004,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1800,716,602,326,196252,23,49
REAL-BRIDGE-IMG-0023-ANN-005,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1000,822,706,426,300756,23,50
REAL-BRIDGE-IMG-0023-ANN-006,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1330,1258,90,36,3240,23,51
REAL-BRIDGE-IMG-0023-ANN-007,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1602,1322,86,64,5504,23,52
REAL-BRIDGE-IMG-0023-ANN-008,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,2206,1340,124,42,5208,23,53
REAL-BRIDGE-IMG-0023-ANN-009,REAL-BRIDGE-IMG-0023,data/bridge_image/103_78a96662-0614-11ec-8d14-a85e4515a1df_jpg.rf.RxUhwEtFDS7sIogDerKF.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,2368,1042,192,346,66432,23,54
REAL-BRIDGE-IMG-0024-ANN-001,REAL-BRIDGE-IMG-0024,data/bridge_image/103_8afa4a7d-6dce-46de-bb64-69ba64422b6b_jpg.rf.MTFaokuO2iG4OftJ7QWL.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,672,934,672,156,104832,24,55
REAL-BRIDGE-IMG-0024-ANN-002,REAL-BRIDGE-IMG-0024,data/bridge_image/103_8afa4a7d-6dce-46de-bb64-69ba64422b6b_jpg.rf.MTFaokuO2iG4OftJ7QWL.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,106,268,388,300,116400,24,56
REAL-BRIDGE-IMG-0024-ANN-003,REAL-BRIDGE-IMG-0024,data/bridge_image/103_8afa4a7d-6dce-46de-bb64-69ba64422b6b_jpg.rf.MTFaokuO2iG4OftJ7QWL.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1108,144,194,234,45396,24,57
REAL-BRIDGE-IMG-0024-ANN-004,REAL-BRIDGE-IMG-0024,data/bridge_image/103_8afa4a7d-6dce-46de-bb64-69ba64422b6b_jpg.rf.MTFaokuO2iG4OftJ7QWL.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1516,12,1044,1428,1490832,24,58
REAL-BRIDGE-IMG-0025-ANN-001,REAL-BRIDGE-IMG-0025,data/bridge_image/Image_-129-_jpg.rf.0sf3cpeLOg81ZZ5hs6vU.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,3.5,157,586,566,331676,25,59
REAL-BRIDGE-IMG-0026-ANN-001,REAL-BRIDGE-IMG-0026,data/bridge_image/2564.rf.1O9f167oAl4bAlRCsLUW.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,0,159,416,105,43680,26,60
REAL-BRIDGE-IMG-0027-ANN-001,REAL-BRIDGE-IMG-0027,data/bridge_image/Image_-615-_jpg.rf.ytY7WixYyvsXwjXf5Oyk.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,283,58.5,666,1006,669996,27,61
REAL-BRIDGE-IMG-0028-ANN-001,REAL-BRIDGE-IMG-0028,data/bridge_image/Image_-796-_jpg.rf.HSlajtplS5rlPLuc6ghg.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,189,5.5,81,436,35316,28,62
REAL-BRIDGE-IMG-0029-ANN-001,REAL-BRIDGE-IMG-0029,data/bridge_image/2322.rf.HvKVIG6PcgtlMqb6MXJC.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,196,0.5,72,414,29808,29,63
REAL-BRIDGE-IMG-0030-ANN-001,REAL-BRIDGE-IMG-0030,data/bridge_image/103_78aa026c-0614-11ec-ab9d-a85e4515a1df_jpg.rf.uQZowU92fdCnhuS9LmCY.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1150,738,90,176,15840,30,64
REAL-BRIDGE-IMG-0031-ANN-001,REAL-BRIDGE-IMG-0031,data/bridge_image/103_78a79166-0614-11ec-ac79-a85e4515a1df_jpg.rf.EMVTJmjlcp70mWV1rEA7.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,879.07,1065.78,511.6,211.55,108228.98,31,65
REAL-BRIDGE-IMG-0031-ANN-002,REAL-BRIDGE-IMG-0031,data/bridge_image/103_78a79166-0614-11ec-ac79-a85e4515a1df_jpg.rf.EMVTJmjlcp70mWV1rEA7.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1704,793.95,852.12,413.38,352249.366,31,66
REAL-BRIDGE-IMG-0031-ANN-003,REAL-BRIDGE-IMG-0031,data/bridge_image/103_78a79166-0614-11ec-ac79-a85e4515a1df_jpg.rf.EMVTJmjlcp70mWV1rEA7.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,924.39,220.98,1602.94,179.69,288032.289,31,67
REAL-BRIDGE-IMG-0032-ANN-001,REAL-BRIDGE-IMG-0032,data/bridge_image/2244.rf.94YCXpFpiPhRDjl0wMV7.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,185,3.5,38,412,15656,32,68
REAL-BRIDGE-IMG-0033-ANN-001,REAL-BRIDGE-IMG-0033,data/bridge_image/Image_-695-_jpg.rf.vNsFek0X1fNDdpN0T3Ap.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,5,3,443,405,179415,33,69
REAL-BRIDGE-IMG-0034-ANN-001,REAL-BRIDGE-IMG-0034,data/bridge_image/Image_-743-_jpg.rf.nQkMRLG64MBC9t6Yrkpg.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,183.5,11,73,430,31390,34,70
REAL-BRIDGE-IMG-0035-ANN-001,REAL-BRIDGE-IMG-0035,data/bridge_image/3185.rf.oJIhh9jsg0LVSLOmzHh6.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,153,0.5,155,414,64170,35,71
REAL-BRIDGE-IMG-0036-ANN-001,REAL-BRIDGE-IMG-0036,data/bridge_image/104_6a1faaa4-0615-11ec-8ce3-a85e4515a1df_jpg.rf.jt0mrdHGLRnrfIbyqMa2.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,712,476,956,576,550656,36,72
REAL-BRIDGE-IMG-0037-ANN-001,REAL-BRIDGE-IMG-0037,data/bridge_image/104_8fc358f9-2526-4eb5-9279-2c5ef1762e2d_jpg.rf.kD5U3vxk3Z9Tw4UX5Gz7.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,40,596,2520,426,1073520,37,73
REAL-BRIDGE-IMG-0037-ANN-002,REAL-BRIDGE-IMG-0037,data/bridge_image/104_8fc358f9-2526-4eb5-9279-2c5ef1762e2d_jpg.rf.kD5U3vxk3Z9Tw4UX5Gz7.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,1326,112,242,624,151008,37,74
REAL-BRIDGE-IMG-0038-ANN-001,REAL-BRIDGE-IMG-0038,data/bridge_image/Image_-97-_jpg.rf.lGzKEzR4IzyRf75qiiuT.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,3.5,0,630,668,420840,38,75
REAL-BRIDGE-IMG-0039-ANN-001,REAL-BRIDGE-IMG-0039,data/bridge_image/103_78a8f164-0614-11ec-a93f-a85e4515a1df_jpg.rf.ws6OpR9BOCOT9d8rsEGV.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,597.33,344,380.38,1096,416896.48,39,76
REAL-BRIDGE-IMG-0039-ANN-002,REAL-BRIDGE-IMG-0039,data/bridge_image/103_78a8f164-0614-11ec-a93f-a85e4515a1df_jpg.rf.ws6OpR9BOCOT9d8rsEGV.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1314,426.18,735.54,1013.82,745705.163,39,77
REAL-BRIDGE-IMG-0039-ANN-003,REAL-BRIDGE-IMG-0039,data/bridge_image/103_78a8f164-0614-11ec-a93f-a85e4515a1df_jpg.rf.ws6OpR9BOCOT9d8rsEGV.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,0,274,2560,248.12,635187.2,39,78
REAL-BRIDGE-IMG-0040-ANN-001,REAL-BRIDGE-IMG-0040,data/bridge_image/3016.rf.84YcmGbE31DR5EinPemk.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,177.5,4.5,124,406,50344,40,79
REAL-BRIDGE-IMG-0041-ANN-001,REAL-BRIDGE-IMG-0041,data/bridge_image/Image_-790-_jpg.rf.mWnyytebvU5aNlajKtDJ.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,54.5,76.5,178,82,14596,41,80
REAL-BRIDGE-IMG-0041-ANN-002,REAL-BRIDGE-IMG-0041,data/bridge_image/Image_-790-_jpg.rf.mWnyytebvU5aNlajKtDJ.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,47.5,109.5,46,64,2944,41,81
REAL-BRIDGE-IMG-0041-ANN-003,REAL-BRIDGE-IMG-0041,data/bridge_image/Image_-790-_jpg.rf.mWnyytebvU5aNlajKtDJ.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,87.5,120,37,61,2257,41,82
REAL-BRIDGE-IMG-0041-ANN-004,REAL-BRIDGE-IMG-0041,data/bridge_image/Image_-790-_jpg.rf.mWnyytebvU5aNlajKtDJ.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,45,1,36,84,3024,41,83
REAL-BRIDGE-IMG-0042-ANN-001,REAL-BRIDGE-IMG-0042,data/bridge_image/104_681181a4-25a0-4921-ae26-3e5645492a0b_jpg.rf.mwx52j0sd4JlDb8nIfmz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,1480,288,196,792,155232,42,84
REAL-BRIDGE-IMG-0042-ANN-002,REAL-BRIDGE-IMG-0042,data/bridge_image/104_681181a4-25a0-4921-ae26-3e5645492a0b_jpg.rf.mwx52j0sd4JlDb8nIfmz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,200,252,260,660,171600,42,85
REAL-BRIDGE-IMG-0043-ANN-001,REAL-BRIDGE-IMG-0043,data/bridge_image/103_8d1a6817-efad-4832-8598-2d2c42d459ee_jpg.rf.vJsnCFnMBnoMV8IuYtmh.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,0,30.66,2560,773.95,1981312,43,86
REAL-BRIDGE-IMG-0044-ANN-001,REAL-BRIDGE-IMG-0044,data/bridge_image/103_214e6f5d-a93f-409f-b5e1-200b8964a0bd_jpg.rf.vzIet8LzjBzW1FSIAoYk.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,647.11,785.96,373.56,121.37,45338.977,44,87
REAL-BRIDGE-IMG-0044-ANN-002,REAL-BRIDGE-IMG-0044,data/bridge_image/103_214e6f5d-a93f-409f-b5e1-200b8964a0bd_jpg.rf.vzIet8LzjBzW1FSIAoYk.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1717.34,664,548.17,196.58,107759.259,44,88
REAL-BRIDGE-IMG-0045-ANN-001,REAL-BRIDGE-IMG-0045,data/bridge_image/3842.rf.pMTUuNsPxGAp82eqzag1.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,0.5,194,368,34,12512,45,89
REAL-BRIDGE-IMG-0045-ANN-002,REAL-BRIDGE-IMG-0045,data/bridge_image/3842.rf.pMTUuNsPxGAp82eqzag1.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,329.5,175.5,86,21,1806,45,90
REAL-BRIDGE-IMG-0046-ANN-001,REAL-BRIDGE-IMG-0046,data/bridge_image/104_26946ed0-1624-4d21-9585-678843278f62_jpg.rf.pWQOdmLlsqb64pmTDW3G.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,1640,584,626,316,197816,46,91
REAL-BRIDGE-IMG-0046-ANN-002,REAL-BRIDGE-IMG-0046,data/bridge_image/104_26946ed0-1624-4d21-9585-678843278f62_jpg.rf.pWQOdmLlsqb64pmTDW3G.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,916,414,74,346,25604,46,92
REAL-BRIDGE-IMG-0047-ANN-001,REAL-BRIDGE-IMG-0047,data/bridge_image/104_7fa20cae-9a27-4c06-aa80-e2e53d0431ee_jpg.rf.Aci3tpOQVRFZ5cdJdB1X.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,298,462,870,420,365400,47,93
REAL-BRIDGE-IMG-0048-ANN-001,REAL-BRIDGE-IMG-0048,data/bridge_image/103_23ae5661-0217-4cd0-a417-17f2359287e5_jpg.rf.E6YEfCaumimepoPNTE1L.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,348,966,126,150,18900,48,94
